Title,Author,Link,Bookshelf,readlink,imglink
"Ariel: ou, La vie de Shelley",André Maurois,http://www.gutenberg.org/ebooks/59781,,https://www.gutenberg.org/cache/epub/59781/pg59781-images.html,https://www.gutenberg.org/cache/epub/59781/pg59781.cover.medium.jpg
"La Vie de Madame Élisabeth, soeur de Louis XVI, Volume 2",A. de Beauchesne,http://www.gutenberg.org/ebooks/42463,,https://www.gutenberg.org/cache/epub/42463/pg42463-images.html,https://www.gutenberg.org/cache/epub/42463/pg42463.cover.medium.jpg
"Lettres de Mmes. de Villars, de Coulanges et de La Fayette, de Ninon de L'Enclos",,http://www.gutenberg.org/ebooks/29476,,https://www.gutenberg.org/cache/epub/29476/pg29476-images.html,https://www.gutenberg.org/cache/epub/29476/pg29476.cover.medium.jpg
"Lettres du prince de Metternich à la comtesse de Lieven, 1818-1819",Metternich,http://www.gutenberg.org/ebooks/50708,,https://www.gutenberg.org/cache/epub/50708/pg50708-images.html,https://www.gutenberg.org/cache/epub/50708/pg50708.cover.medium.jpg
Histoire des salons de Paris (Tome 4/6),duchesse d' Laure Junot Abrantès,http://www.gutenberg.org/ebooks/44054,,https://www.gutenberg.org/cache/epub/44054/pg44054-images.html,https://www.gutenberg.org/cache/epub/44054/pg44054.cover.medium.jpg
"Notice bio-bibliographique sur La Boëtie, suivie de La Servitude volontaire",,http://www.gutenberg.org/ebooks/62051,,https://www.gutenberg.org/cache/epub/62051/pg62051-images.html,https://www.gutenberg.org/cache/epub/62051/pg62051.cover.medium.jpg
"Mémoires authentiques de Latude,",Henri Masers de Latude,http://www.gutenberg.org/ebooks/33745,,https://www.gutenberg.org/cache/epub/33745/pg33745-images.html,https://www.gutenberg.org/cache/epub/33745/pg33745.cover.medium.jpg
Mémoires de l'Impératrice Catherine II.,Empress of Russia Catherine II,http://www.gutenberg.org/ebooks/44749,,https://www.gutenberg.org/cache/epub/44749/pg44749-images.html,https://www.gutenberg.org/cache/epub/44749/pg44749.cover.medium.jpg
Souvenirs d'égotisme,Stendhal,http://www.gutenberg.org/ebooks/48004,,https://www.gutenberg.org/cache/epub/48004/pg48004-images.html,https://www.gutenberg.org/cache/epub/48004/pg48004.cover.medium.jpg
Souvenirs et correspondance tirés des papiers de Mme Récamier (1/2),Récamier,http://www.gutenberg.org/ebooks/25403,,https://www.gutenberg.org/cache/epub/25403/pg25403-images.html,https://www.gutenberg.org/cache/epub/25403/pg25403.cover.medium.jpg
Correspondance: Lettres de jeunesse,Émile Zola,http://www.gutenberg.org/ebooks/55517,,https://www.gutenberg.org/cache/epub/55517/pg55517-images.html,https://www.gutenberg.org/cache/epub/55517/pg55517.cover.medium.jpg
Mes Origines; Mémoires et Récits de Frédéric Mistral,Frédéric Mistral,http://www.gutenberg.org/ebooks/7012,,https://www.gutenberg.org/cache/epub/7012/pg7012-images.html,https://www.gutenberg.org/cache/epub/7012/pg7012.cover.medium.jpg
Supplément à la Correspondance Diplomatique de Bertrand de Salignac de La Mothe,,http://www.gutenberg.org/ebooks/42432,,https://www.gutenberg.org/cache/epub/42432/pg42432-images.html,https://www.gutenberg.org/cache/epub/42432/pg42432.cover.medium.jpg
"Correspondance diplomatique de Bertrand de Salignac de La Mothe Fénélon, Tome",,http://www.gutenberg.org/ebooks/41226,,https://www.gutenberg.org/cache/epub/41226/pg41226-images.html,https://www.gutenberg.org/cache/epub/41226/pg41226.cover.medium.jpg
"Mémoires de Luther écrits par lui-même, Tome I",Martin Luther and Jules Michelet,http://www.gutenberg.org/ebooks/45953,,https://www.gutenberg.org/cache/epub/45953/pg45953-images.html,https://www.gutenberg.org/cache/epub/45953/pg45953.cover.medium.jpg
Pierre Nozière,Anatole France,http://www.gutenberg.org/ebooks/10160,,https://www.gutenberg.org/cache/epub/10160/pg10160-images.html,https://www.gutenberg.org/cache/epub/10160/pg10160.cover.medium.jpg
Histoire des salons de Paris (Tome 2/6),duchesse d' Laure Junot Abrantès,http://www.gutenberg.org/ebooks/41121,,https://www.gutenberg.org/cache/epub/41121/pg41121-images.html,https://www.gutenberg.org/cache/epub/41121/pg41121.cover.medium.jpg
"Correspondance, 1812-1876 — Tome 1",George Sand,http://www.gutenberg.org/ebooks/13629,,https://www.gutenberg.org/cache/epub/13629/pg13629-images.html,https://www.gutenberg.org/cache/epub/13629/pg13629.cover.medium.jpg
La cour et la ville de Madrid vers la fin du XVIIe siècle,Madame d' Aulnoy,http://www.gutenberg.org/ebooks/29114,,https://www.gutenberg.org/cache/epub/29114/pg29114-images.html,https://www.gutenberg.org/cache/epub/29114/pg29114.cover.medium.jpg
Souvenirs et anecdotes de l'île d'Elbe,André Pons de l'Hérault,http://www.gutenberg.org/ebooks/27828,,https://www.gutenberg.org/cache/epub/27828/pg27828-images.html,https://www.gutenberg.org/cache/epub/27828/pg27828.cover.medium.jpg
